"Agno";"Periodo";"Nacimientos";"Defunciones"
"1941";"Año";"511.157";"487.748"
"1942";"Año";"530.845";"387.844"
"1943";"Año";"606.971";"352.587"
"1944";"Año";"602.091";"349.114"
"1945";"Año";"621.558";"330.581"
"1946";"Año";"582.248";"351.421"
"1947";"Año";"585.469";"328.695"
"1948";"Año";"638.797";"303.695"
"1949";"Año";"598.776";"320.011"
"1950";"Año";"562.376";"304.400"
"1951";"Año";"564.517";"325.654"
"1952";"Año";"590.123";"275.499"
"1953";"Año";"586.462";"277.329"
"1954";"Año";"575.232";"263.545"
"1955";"Año";"596.026";"273.105"
"1956";"Año";"605.208";"289.255"
"1957";"Año";"643.317";"293.502"
"1958";"Año";"650.039";"259.708"
"1959";"Año";"651.220";"268.557"
"1960";"Año";"660.129";"267.852"
"1961";"Año";"651.558";"262.339"
"1962";"Año";"655.829";"277.522"
"1963";"Año";"668.472";"281.454"
"1964";"Año";"694.625";"272.962"
"1965";"Año";"673.551";"273.209"
"1966";"Año";"667.163";"275.170"
"1967";"Año";"677.487";"279.469"
"1968";"Año";"664.948";"282.628"
"1969";"Año";"664.114";"302.352"
"1970";"Año";"661.065";"285.133"
"1971";"Año";"669.430";"307.529"
"1972";"Año";"669.977";"284.571"
"1973";"Año";"670.598";"300.786"
"1974";"Año";"686.220";"299.485"
"1975";"Año";"669.378";"298.192"
"1976";"Año";"677.456";"299.007"
"1977";"Año";"656.357";"294.324"
"1978";"Año";"636.892";"296.781"
"1979";"Año";"601.992";"291.213"
"1980";"Año";"571.018";"289.344"
"1981";"Año";"533.008";"293.386"
"1982";"Año";"515.706";"286.655"
"1983";"Año";"485.352";"302.569"
"1984";"Año";"473.281";"299.409"
"1985";"Año";"456.298";"312.532"
"1986";"Año";"438.750";"310.413"
"1987";"Año";"426.782";"310.073"
"1988";"Año";"418.919";"319.437"
"1989";"Año";"408.434";"324.796"
"1990";"Año";"401.425";"333.142"
"1991";"Año";"395.989";"337.691"
"1992";"Año";"396.747";"331.515"
"1993";"Año";"385.786";"339.661"
"1994";"Año";"370.148";"338.242"
"1995";"Año";"363.469";"346.227"
"1996";"Año";"362.626";"351.449"
"1997";"Año";"369.035";"349.521"
"1998";"Año";"365.193";"360.511"
"1999";"Año";"380.130";"371.102"
"2000";"Año";"397.632";"360.391"
"2001";"Año";"406.380";"360.131"
"2002";"Año";"418.846";"368.618"
"2003";"Año";"441.881";"384.828"
"2004";"Año";"454.591";"371.934"
"2005";"Año";"466.371";"387.355"
"2006";"Año";"482.957";"371.478"
"2007";"Año";"492.527";"385.361"
"2008";"Año";"519.779";"386.324"
"2009";"Año";"494.997";"384.933"
"2010";"Año";"486.575";"382.047"
"2011";"Año";"471.999";"387.911"
"2012";"Año";"454.648";"402.950"
"2013";"Año";"425.715";"390.419"
"2014";"Año";"427.595";"395.830"
"2015";"Año";"420.290";"422.568"
"2016";"Año";"410.583";"410.611"
"2017";"Año";"393.181";"424.523"
"2018";"Año";"372.777";"427.721"
"2019";"Año";"360.617";"418.703"
"2020";"Año";"337.740";"501.093"
