Agno,Periodo,Nacimientos,Defunciones
1941,Año,511157,487748
1942,Año,530845,387844
1943,Año,606971,352587
1944,Año,602091,349114
1945,Año,621558,330581
1946,Año,582248,351421
1947,Año,585469,328695
1948,Año,638797,303695
1949,Año,598776,320011
1950,Año,562376,304400
1951,Año,564517,325654
1952,Año,590123,275499
1953,Año,586462,277329
1954,Año,575232,263545
1955,Año,596026,273105
1956,Año,605208,289255
1957,Año,643317,293502
1958,Año,650039,259708
1959,Año,651220,268557
1960,Año,660129,267852
1961,Año,651558,262339
1962,Año,655829,277522
1963,Año,668472,281454
1964,Año,694625,272962
1965,Año,673551,273209
1966,Año,667163,275170
1967,Año,677487,279469
1968,Año,664948,282628
1969,Año,664114,302352
1970,Año,661065,285133
1971,Año,669430,307529
1972,Año,669977,284571
1973,Año,670598,300786
1974,Año,686220,299485
1975,Año,669378,298192
1976,Año,677456,299007
1977,Año,656357,294324
1978,Año,636892,296781
1979,Año,601992,291213
1980,Año,571018,289344
1981,Año,533008,293386
1982,Año,515706,286655
1983,Año,485352,302569
1984,Año,473281,299409
1985,Año,456298,312532
1986,Año,438750,310413
1987,Año,426782,310073
1988,Año,418919,319437
1989,Año,408434,324796
1990,Año,401425,333142
1991,Año,395989,337691
1992,Año,396747,331515
1993,Año,385786,339661
1994,Año,370148,338242
1995,Año,363469,346227
1996,Año,362626,351449
1997,Año,369035,349521
1998,Año,365193,360511
1999,Año,380130,371102
2000,Año,397632,360391
2001,Año,406380,360131
2002,Año,418846,368618
2003,Año,441881,384828
2004,Año,454591,371934
2005,Año,466371,387355
2006,Año,482957,371478
2007,Año,492527,385361
2008,Año,519779,386324
2009,Año,494997,384933
2010,Año,486575,382047
2011,Año,471999,387911
2012,Año,454648,402950
2013,Año,425715,390419
2014,Año,427595,395830
2015,Año,420290,422568
2016,Año,410583,410611
2017,Año,393181,424523
2018,Año,372777,427721
2019,Año,360617,418703
2020,Año,337740,501093
